[CrossWire Attic] *[ChiUns]  	(2.5)  	- 和合本 (简体字)
[CrossWire Attic] *[PorLivre]  	(1.1)  	- Bíblia Livre
[CrossWire Attic] *[SpaRVG2004]  	(1.0)  	- Spanish Reina Valera Gomez 2004
[CrossWire Attic] *[EMTV]  	(1.3.1)  	- English Majority Text Version
[CrossWire Attic] *[PorAR]  	(1.2)  	- Bíblia Almeida Recebida (AR)
[CrossWire Attic] *[MonKJV]  	(1.0)  	- Mongolian King James Version
[CrossWire Attic] *[GerNeUe]  	(2.6)  	- Neue evangelistische Übersetzung
[CrossWire Attic] *[NHEB]  	(1.1)  	- New Heart English Bible
[CrossWire Attic] *[OSMHB]  	(2.0)  	- Open Scriptures Morphological Hebrew Bible (morphology forthcoming)
[CrossWire Attic] *[WLC]  	(1.8)  	- Westminster Leningrad Codex
[CrossWire Attic] *[Bela]  	(1.0.2)  	- Belarusian Bible
[CrossWire Attic] *[Latvian]  	(1.1)  	- Latvian New Testament
[CrossWire Attic] *[QuotingPassages]  	(1.1)  	- Scripture Passages Quoting Scripture
[CrossWire Attic] *[HunUj]  	(1.2.1)  	- The New Translation Bible of the Hungarian Bible Society (Magyar Bibliatarsulat Ujforditasu Bibliaja)
[CrossWire Beta] *[JapDenmo]  	(1.0)  	- Japanese Denmo 電網聖書
[CrossWire Beta] *[Catena]  	(1.0)  	- Catena Aurea (Thomas Aquinas)
[CrossWire Beta] *[ABU]  	(1.4)  	- American Bible Union New Testament
[CrossWire Beta] *[GerLut1545lh]  	(1.5)  	- German Lutherbibel von 1545 (Letzte Hand)
[CrossWire Beta] *[Twenty]  	(1.2)  	- Twentieth Century New Testament
[CrossWire Beta] *[GerElb1871r]  	(1.1)  	- Retroprojekt Elberfelder 1871 Fragment
